,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
505,505,105,80,,,
506,506,106,80,1002,94,32.01793947870166
507,507,107,80,890,94,28.171375920254906
508,508,108,80,872,94,29.267133322061227
509,509,109,80,864,93,28.531231415183704
510,510,110,80,982,92,30.5042320858798
511,511,111,80,1024,96,30.524964649099296
512,512,112,80,943,90,28.873005981483853
513,513,113,80,960,94,30.71018996101251
514,514,114,80,845,97,26.619463715336167
515,515,115,80,925,95,29.477106465892625
516,516,116,80,901,93,28.3127233306759
517,517,117,80,938,96,29.92762088098436
518,518,118,80,1029,96,30.18097343611353
519,519,119,80,900,101,28.221066266962907
520,520,120,80,954,90,28.55293680389898
521,521,121,80,1060,91,30.493258022754755
522,522,122,80,973,96,29.848154215113823
523,523,123,80,917,90,29.047777870689846
524,524,124,80,917,95,26.93652610267525
525,525,125,80,954,96,29.19674837775013
526,526,126,80,954,96,29.76666599323883
527,527,127,80,938,92,31.860459744580226
528,528,128,80,1073,98,31.373310620699293
529,529,129,80,940,96,30.978580057553568
530,530,130,80,885,93,26.626387943455352
531,531,131,80,952,99,31.09868381005037
532,532,132,80,932,93,30.754420231099342
533,533,133,80,1048,96,28.381777052909968
534,534,134,80,937,94,28.65705086195816
535,535,135,80,935,92,30.03749789889351
536,536,136,80,957,95,31.349908885231837
537,537,137,80,928,99,30.697447764054168
538,538,138,80,1008,93,29.201879005885555
539,539,139,80,981,98,31.476794336551013
540,540,140,80,935,93,31.001597912283636
541,541,141,80,869,93,27.418968416897844
542,542,142,80,905,93,28.75905555005151
543,543,143,80,886,94,27.653036042159176
544,544,144,80,943,92,29.551844770836748
545,545,145,80,997,97,30.167867433875834
546,546,146,80,,,
547,547,147,80,,,
548,548,148,80,855,94,27.477550537633054
549,549,149,80,889,97,29.190116395657398
550,550,150,80,1068,95,30.78169349985512
551,551,151,80,949,95,30.736392473029902
552,552,152,80,881,94,29.329388075078022
553,553,153,80,1065,94,30.44634688522465
554,554,154,80,1025,93,32.67714776839425
555,555,155,80,966,95,33.87863666814523
556,556,156,80,985,95,30.016425692360897
557,557,157,80,941,93,29.857169370592395
558,558,158,80,957,102,29.385174275348472
559,559,159,80,,,
560,560,160,80,883,97,27.04003276783723
561,561,161,80,944,91,30.303370876658683
562,562,162,80,896,92,28.512744848541193
563,563,163,80,932,90,29.896377357416274
564,564,164,80,888,95,28.066275327237534
565,565,165,80,878,94,28.107785853666673
566,566,166,80,,,
567,567,167,80,866,94,28.135628177683138
568,568,168,80,889,93,29.217855915580497
569,569,169,80,918,96,28.451293300238035
570,570,170,80,1028,94,32.13777992210346
571,571,171,80,951,92,28.67335564757988
572,572,172,80,938,91,30.567607564679875
573,573,173,80,915,92,28.411900620485902
574,574,174,80,961,93,29.01783426213799
575,575,175,80,909,95,26.930224621417477
576,576,176,80,967,97,29.02498109683189
577,577,177,80,939,96,29.949096549628607
578,578,178,80,986,92,30.927548809079237
579,579,179,80,989,97,29.210518204567542
580,580,180,80,924,91,29.59664961145231
581,581,181,80,937,96,28.204097894895273
582,582,182,80,955,92,30.282665821025702
583,583,183,80,943,93,27.63551750653362
584,584,184,80,995,90,28.205625176759295
585,585,185,80,903,104,29.674610169821385
586,586,186,80,896,96,26.503694082103372
587,587,187,80,941,93,28.66422290678411
588,588,188,80,844,92,27.4023852187029
589,589,189,80,993,94,29.93295534741223
590,590,190,80,971,100,30.477905153740377
