,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
405,405,5,50,752,42,36.09924351941231
406,406,6,50,753,45,34.93380400704043
407,407,7,50,751,43,35.42871430053134
408,408,8,50,754,46,34.81405288349782
409,409,9,50,754,57,36.051525129457545
410,410,10,50,754,47,34.80742192359899
411,411,11,50,754,43,33.67077642329608
412,412,12,50,755,45,37.47605316205347
413,413,13,50,757,43,35.95681569850473
414,414,14,50,597,42,32.82408660248154
415,415,15,50,752,49,34.596723353522755
416,416,16,50,752,50,35.17765425386698
417,417,17,50,757,47,38.440212341033394
418,418,18,50,754,40,36.10861018855415
419,419,19,50,751,48,35.554379451235874
420,420,20,50,752,46,36.31925987281526
421,421,21,50,529,48,30.978306345730104
422,422,22,50,753,44,34.36717022373342
423,423,23,50,754,45,35.84034635029312
424,424,24,50,753,44,35.97121398359555
425,425,25,50,752,42,35.599987932573676
426,426,26,50,753,44,34.63337105614797
427,427,27,50,755,48,34.28928931227943
428,428,28,50,757,44,36.5068037809408
429,429,29,50,753,44,35.316084637592205
430,430,30,50,756,40,36.733643729026376
431,431,31,50,753,45,35.79261681002993
432,432,32,50,753,50,36.676103268034005
433,433,33,50,754,48,35.246484714094485
434,434,34,50,757,47,34.76056488540499
435,435,35,50,755,48,34.87663499222648
436,436,36,50,759,47,33.83553731051973
437,437,37,50,753,44,35.82383920180822
438,438,38,50,485,41,31.017968134935973
439,439,39,50,757,42,35.75905571054752
440,440,40,50,756,44,34.73371177307243
441,441,41,50,757,47,34.80491155903383
442,442,42,50,754,40,36.125517968820716
443,443,43,50,755,44,35.174866549931146
444,444,44,50,755,51,34.89727191385499
445,445,45,50,753,46,35.245719446960834
446,446,46,50,753,55,38.31412323471102
447,447,47,50,751,44,36.453386062780694
448,448,48,50,751,43,38.16545644828286
449,449,49,50,754,47,33.70580331633597
450,450,50,50,754,40,34.942243964021664
451,451,51,50,750,44,34.515747320377066
452,452,52,50,753,45,34.72903840988967
453,453,53,50,752,43,33.314495298132115
454,454,54,50,754,43,34.62957130915857
455,455,55,50,755,40,36.12595676277079
456,456,56,50,752,42,34.31865885085256
457,457,57,50,755,46,33.70231204275128
458,458,58,50,760,42,35.0326824565878
459,459,59,50,754,50,35.83359771770016
460,460,60,50,616,47,34.33471675111164
461,461,61,50,751,49,34.94804164732957
462,462,62,50,752,42,35.66968908154051
463,463,63,50,751,45,33.28335765355097
464,464,64,50,754,50,36.12011623981936
465,465,65,50,755,47,34.94122214784631
466,466,66,50,754,46,35.33598838440438
467,467,67,50,752,43,35.721088180985824
468,468,68,50,314,50,33.25894006973439
469,469,69,50,752,46,34.0288703046827
470,470,70,50,753,49,38.100440828061394
